Datetime,load_kW
2020-04-24 22:15:00,37.801853333333334
2020-04-24 22:30:00,37.435233333333336
2020-04-24 22:45:00,37.73552666666667
2020-04-24 23:00:00,37.46486666666667
2020-04-24 23:15:00,36.17477333333333
2020-04-24 23:30:00,37.52033333333333
2020-04-24 23:45:00,37.61071333333334
2020-04-25 00:00:00,32.88274666666666
2020-04-25 00:15:00,31.981313333333336
2020-04-25 00:30:00,31.663200000000003
2020-04-25 00:45:00,32.325720000000004
2020-04-25 01:00:00,33.797306666666664
2020-04-25 01:15:00,30.880513333333333
2020-04-25 01:30:00,32.485386666666656
2020-04-25 01:45:00,31.220626666666668
2020-04-25 02:00:00,28.894426666666668
2020-04-25 02:15:00,32.24586
2020-04-25 02:30:00,30.179239999999997
2020-04-25 02:45:00,28.76224666666667
2020-04-25 03:00:00,30.583140000000004
2020-04-25 03:15:00,36.313293333333334
2020-04-25 03:30:00,29.102280000000004
2020-04-25 03:45:00,32.55932666666667
2020-04-25 04:00:00,31.973446666666668
2020-04-25 04:15:00,32.147486666666666
2020-04-25 04:30:00,30.631233333333338
2020-04-25 04:45:00,32.44312
2020-04-25 05:00:00,32.22198666666666
2020-04-25 05:15:00,30.59102
2020-04-25 05:30:00,31.93102666666667
2020-04-25 05:45:00,32.73197333333333
2020-04-25 06:00:00,29.993379999999995
2020-04-25 06:15:00,30.465199999999996
2020-04-25 06:30:00,35.09669999999999
2020-04-25 06:45:00,29.001413333333335
2020-04-25 07:00:00,32.08224
2020-04-25 07:15:00,32.480079999999994
2020-04-25 07:30:00,30.453893333333337
2020-04-25 07:45:00,32.5507
2020-04-25 08:00:00,32.059513333333335
2020-04-25 08:15:00,31.296753333333335
2020-04-25 08:30:00,32.535446666666665
2020-04-25 08:45:00,32.519706666666664
2020-04-25 09:00:00,31.660753333333336
2020-04-25 09:15:00,32.34111333333333
2020-04-25 09:30:00,29.90304666666667
2020-04-25 09:45:00,33.21234666666667
2020-04-25 10:00:00,32.13028666666666
2020-04-25 10:15:00,30.13418
2020-04-25 10:30:00,31.69192
2020-04-25 10:45:00,33.960186666666665
2020-04-25 11:00:00,30.12143333333334
2020-04-25 11:15:00,37.02439333333333
2020-04-25 11:30:00,29.854226666666666
2020-04-25 11:45:00,33.27449333333333
2020-04-25 12:00:00,33.75122
2020-04-25 12:15:00,31.62211333333333
2020-04-25 12:30:00,31.689406666666667
2020-04-25 12:45:00,38.955446666666674
2020-04-25 13:00:00,36.99414666666667
2020-04-25 13:15:00,35.08898666666667
2020-04-25 13:30:00,36.73177999999999
2020-04-25 13:45:00,28.682453333333335
2020-04-25 14:00:00,35.283873333333325
